,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2021/02/15,19,26,45,43,43,42,48,20,11
2021/02/16,24,28,70,80,52,62,65,27,5
2021/02/17,14,16,61,97,55,85,66,18,19
2021/02/18,24,24,61,59,49,54,47,18,23
2021/02/19,26,18,33,59,39,50,44,17,8
2021/02/20,17,24,42,44,36,45,57,28,16
2021/02/21,18,20,43,34,20,35,36,13,11
2021/02/22,14,15,37,43,27,41,39,14,12
2021/02/23,17,18,52,46,38,39,45,20,11
2021/02/24,14,20,51,44,38,41,33,13,6
2021/02/25,9,18,35,47,38,53,44,18,11
2021/02/26,12,17,42,53,43,55,46,18,11
2021/02/27,13,18,36,31,37,59,40,17,10
2021/02/28,29,17,30,46,31,41,38,12,10
2021/03/01,36,19,33,58,64,48,36,18,9
2021/03/02,24,23,27,45,39,34,40,15,12
2021/03/03,11,29,45,61,59,61,31,15,6
2021/03/04,9,21,47,42,46,56,42,20,10
2021/03/05,19,17,61,46,53,56,42,24,5
2021/03/06,11,23,46,42,38,48,35,26,15
2021/03/07,13,24,40,30,34,44,24,22,1
2021/03/08,18,15,28,48,55,46,50,21,6
2021/03/09,14,28,42,64,48,47,51,24,15
2021/03/10,25,26,34,59,55,50,48,19,11
2021/03/11,24,27,41,51,50,35,43,25,12
2021/03/12,12,23,32,45,52,58,48,14,12
2021/03/13,14,21,58,64,54,56,36,14,7
2021/03/14,19,19,38,53,37,53,30,15,5
2021/03/15,12,16,28,35,27,51,38,9,6
2021/03/16,12,18,50,52,55,54,43,21,3
2021/03/17,13,15,38,56,58,44,35,13,11
2021/03/18,12,19,36,52,48,61,46,18,15
2021/03/19,18,16,58,45,45,49,55,13,3
2021/03/20,15,18,41,36,50,40,55,21,7
2021/03/21,18,13,40,57,45,42,28,15,3
2021/03/22,18,20,32,36,30,28,30,17,6
2021/03/23,22,28,50,48,40,48,36,14,6
2021/03/24,10,27,40,53,44,50,34,15,4
2021/03/25,33,14,36,55,55,55,44,12,8
2021/03/26,17,24,37,44,49,40,37,25,3
2021/03/27,16,19,44,42,40,46,55,23,11
2021/03/28,7,15,38,31,35,45,38,16,4
2021/03/29,14,24,28,43,52,46,36,18,5
2021/03/30,14,16,30,44,65,42,34,16,4
2021/03/31,19,22,51,54,55,53,56,19,9
2021/04/01,16,23,48,58,55,56,34,21,6
2021/04/02,12,27,47,53,55,40,47,14,7
2021/04/03,8,24,46,42,51,55,48,15,7
2021/04/04,11,27,38,25,33,49,46,23,8
2021/04/05,14,19,34,31,45,65,40,15,5
2021/04/06,16,24,49,62,57,79,58,19,4
2021/04/07,19,41,65,84,67,93,57,34,10
2021/04/08,16,25,57,56,77,86,70,23,5
2021/04/09,24,47,55,44,73,68,61,19,11
2021/04/10,28,35,54,54,60,82,65,24,11
2021/04/11,18,19,34,39,53,79,57,18,9
2021/04/12,13,27,36,49,49,79,40,26,12
2021/04/13,24,35,73,80,72,103,71,17,12
2021/04/14,18,26,61,71,80,93,54,30,14
2021/04/15,21,26,60,60,60,95,68,23,9
2021/04/16,15,32,61,59,60,104,59,23,17
2021/04/17,16,25,57,54,61,69,59,28,17
2021/04/18,15,17,34,46,47,56,44,23,6
2021/04/19,11,39,33,48,66,61,45,21,9
2021/04/20,20,40,66,62,84,87,60,22,13
2021/04/21,15,35,64,73,83,96,73,21,13
2021/04/22,29,35,62,66,69,83,62,37,41
2021/04/23,17,47,108,74,62,87,71,28,14
2021/04/24,15,36,64,48,53,60,41,26,11
2021/04/25,16,27,58,28,42,66,52,17,11
2021/04/26,13,18,61,34,39,63,47,12,5
2021/04/27,20,20,76,64,67,78,81,37,10
2021/04/28,29,29,65,56,68,70,59,25,13
2021/04/29,14,28,77,55,60,55,59,21,13
2021/04/30,16,33,44,51,66,74,54,27,7
2021/05/01,11,33,54,46,47,65,46,17,12
2021/05/02,18,17,31,43,38,51,32,18,5
2021/05/03,10,32,64,45,43,54,42,10,6
2021/05/04,16,33,65,57,66,83,61,20,5
2021/05/05,21,28,51,44,63,76,43,22,8
2021/05/06,21,26,49,48,46,56,41,20,9
2021/05/07,22,36,74,72,62,76,61,20,12
2021/05/08,28,27,43,55,46,70,47,24,8
2021/05/09,13,30,38,39,44,40,43,22,6
2021/05/10,14,26,44,52,62,48,38,16,3
2021/05/11,26,23,57,52,80,76,57,36,6
2021/05/12,18,48,59,81,83,76,56,23,9
2021/05/13,11,37,59,60,57,64,78,24,12
2021/05/14,22,38,66,70,67,76,48,29,5
2021/05/15,20,32,48,47,55,73,61,27,11
2021/05/16,17,26,63,49,47,64,50,23,5
2021/05/17,17,24,48,47,50,55,45,15,5
2021/05/18,21,35,58,60,70,80,63,26,6
2021/05/19,20,50,66,68,87,58,40,27,9
2021/05/20,31,29,43,46,65,56,51,17,2
2021/05/21,14,29,58,51,65,59,56,28,10
2021/05/22,15,29,55,41,48,60,59,16,9
2021/05/23,11,21,38,37,43,46,46,15,3
2021/05/24,8,16,49,46,44,49,47,15,2
2021/05/25,24,28,78,74,78,81,58,22,9
2021/05/26,17,16,87,57,59,80,41,23,9
2021/05/27,8,23,80,51,63,53,54,15,12
2021/05/28,19,33,62,52,62,62,40,11,2
2021/05/29,7,30,59,49,41,59,51,20,4
2021/05/30,8,17,45,31,41,50,36,17,9
2021/05/31,9,44,40,35,39,49,33,13,3
2021/06/01,13,34,73,70,98,96,43,18,5
2021/06/02,21,39,71,64,76,71,48,23,7
2021/06/03,29,35,73,77,60,74,54,7,9
2021/06/04,23,42,85,74,81,84,66,21,9
2021/06/05,19,26,73,50,69,60,37,14,3
2021/06/06,19,18,56,50,49,51,40,15,4
2021/06/07,13,17,53,41,56,44,31,5,4
2021/06/08,16,16,65,54,83,59,39,14,4
2021/06/09,20,20,61,73,81,69,48,10,5
2021/06/10,17,30,65,68,70,69,41,12,7
2021/06/11,25,28,61,66,85,53,43,11,5
2021/06/12,23,21,49,54,57,49,53,17,3
2021/06/13,11,19,37,45,44,50,26,10,3
2021/06/14,18,11,38,41,51,53,23,9,5
2021/06/15,33,31,81,57,87,52,40,13,4
2021/06/16,19,25,75,63,63,63,50,16,2
2021/06/17,20,27,72,66,61,55,48,8,2
2021/06/18,21,27,56,50,67,65,38,16,0
2021/06/19,15,16,57,52,49,44,33,10,4
2021/06/20,11,29,36,35,46,38,24,7,1
2021/06/21,6,18,42,46,48,44,17,7,3
2021/06/22,21,46,74,68,88,70,35,10,4
2021/06/23,26,30,96,81,89,59,47,13,1
2021/06/24,52,44,89,72,70,67,35,11,8
2021/06/25,37,42,96,85,68,80,33,11,2
2021/06/26,37,27,102,65,73,62,40,6,3
2021/06/27,27,23,87,59,61,55,30,9,2
2021/06/28,22,52,108,84,66,58,28,9,4
2021/06/29,19,40,162,112,131,98,34,14,3
2021/06/30,25,54,140,134,96,84,33,13,4
2021/07/01,33,54,166,99,120,106,33,5,1
2021/07/02,39,63,171,104,113,79,37,8,0
2021/07/03,17,50,119,68,116,85,40,5,7
2021/07/04,26,49,121,98,91,103,29,4,7
2021/07/05,31,52,138,89,110,93,24,8,7
2021/07/06,22,79,278,183,190,169,50,13,4
2021/07/07,45,75,217,173,168,171,44,11,2
2021/07/08,53,82,197,181,177,173,52,8,6
2021/07/09,41,101,205,167,171,186,54,17,5
2021/07/10,45,85,214,156,164,190,51,22,3
2021/07/11,36,68,178,116,118,157,36,16,2
2021/07/12,52,66,177,125,139,135,40,12,0
2021/07/13,45,113,271,215,193,178,54,17,5
2021/07/14,73,88,220,188,188,170,58,12,7
2021/07/15,53,83,227,195,193,172,78,10,5
2021/07/16,63,92,225,131,178,188,74,20,6
2021/07/17,50,80,185,141,155,171,65,23,7
2021/07/18,51,78,156,125,128,165,42,18,9
2021/07/19,48,67,155,132,150,150,50,13,6
2021/07/20,57,113,254,163,215,173,63,16,5
2021/07/21,58,95,180,136,156,177,56,15,5
2021/07/22,52,97,218,168,147,163,73,20,7
2021/07/23,63,85,218,128,150,181,66,22,9
2021/07/24,33,99,212,131,126,125,61,17,6
2021/07/25,43,71,148,121,118,112,66,14,2
2021/07/26,51,66,174,126,120,130,47,10,3
2021/07/27,73,113,230,194,178,204,94,25,16
2021/07/28,73,110,212,140,174,173,63,29,12
2021/07/29,52,100,197,166,172,196,80,29,10
2021/07/30,55,97,201,123,152,136,83,17,5
2021/07/31,54,98,188,126,144,160,78,27,6
2021/08/01,37,87,148,102,120,112,53,21,13
2021/08/02,53,65,148,106,105,127,52,21,7
2021/08/03,46,90,227,165,154,168,70,22,11
2021/08/04,46,113,239,136,158,166,85,25,12
2021/08/05,60,105,216,158,128,149,70,26,2
2021/08/06,69,91,243,164,161,172,89,24,7
2021/08/07,59,96,199,158,134,152,80,29,9
2021/08/08,59,84,200,136,131,131,51,18,10
2021/08/09,45,84,172,133,135,118,76,19,8
2021/08/10,79,133,321,245,209,208,106,29,14
2021/08/11,58,128,294,191,148,165,80,32,15
2021/08/12,58,94,236,185,158,175,93,25,8
2021/08/13,55,118,249,185,175,194,78,21,9
2021/08/14,59,118,257,135,165,167,66,14,8
2021/08/15,41,71,194,149,109,117,59,18,8
2021/08/16,47,60,168,149,108,132,48,21,5
2021/08/17,62,99,237,179,178,164,93,17,12
2021/08/18,71,104,286,237,204,186,93,34,16
2021/08/19,92,94,257,220,187,184,83,35,15
2021/08/20,67,113,251,215,182,170,116,30,7
2021/08/21,69,82,237,200,168,146,84,23,9
2021/08/22,53,77,166,138,139,137,54,20,5
2021/08/23,70,83,212,169,166,118,67,18,4
2021/08/24,71,120,307,215,215,174,107,35,8
2021/08/25,66,101,261,195,179,152,87,41,7
2021/08/26,74,82,283,228,180,180,81,24,10
2021/08/27,75,102,259,189,160,174,88,22,10
2021/08/28,59,90,236,204,142,132,96,20,11
2021/08/29,57,64,166,169,140,120,75,15,14
2021/08/30,47,91,203,154,150,144,83,13,5
2021/08/31,76,118,290,239,219,194,129,33,6
2021/09/01,95,104,296,236,206,189,99,24,8