,0,10,20,30,40,50,60,70,80
2020-12-08,9,19,21,27,31,31,42,23,11
2020-12-09,12,14,29,32,34,41,35,17,14
2020-12-10,11,11,21,26,37,38,35,21,19
2020-12-11,23,22,28,23,44,45,39,32,53
2020-12-12,19,25,30,32,50,48,58,22,14
2020-12-13,8,21,19,29,41,37,30,10,22
2020-12-14,11,19,43,32,45,58,40,19,37
2020-12-15,28,29,61,41,45,83,75,31,18
2020-12-16,14,11,21,25,27,39,34,10,19
2020-12-17,19,29,29,32,31,62,46,28,23
2020-12-18,13,23,42,30,43,63,40,17,12
2020-12-19,14,18,35,36,50,64,49,20,14
2020-12-20,14,17,34,30,23,43,29,17,10
2020-12-21,8,22,18,14,25,37,33,12,12
2020-12-22,17,19,31,38,44,86,45,27,23
2020-12-23,9,13,45,38,37,51,56,17,13
2020-12-24,12,13,27,28,34,36,53,22,19
2020-12-25,9,12,41,35,49,39,43,18,17
2020-12-26,12,22,27,30,34,57,33,11,8
2020-12-27,16,12,18,33,35,42,31,12,5
2020-12-28,18,11,33,24,37,42,47,20,17
2020-12-29,12,10,29,34,47,59,50,16,18
2020-12-30,12,22,27,34,37,39,38,16,11
2020-12-31,15,23,43,39,39,49,36,20,11
2021-01-01,10,15,33,34,31,44,33,11,15
2021-01-02,17,16,34,28,25,41,25,19,8
2021-01-03,9,22,43,26,57,46,37,18,9
2021-01-04,21,12,32,44,32,46,31,11,6
2021-01-05,15,29,39,43,30,50,41,18,13
2021-01-06,19,20,38,51,53,65,47,16,14
2021-01-07,12,16,27,31,34,48,42,11,9
2021-01-08,11,22,36,32,31,31,24,18,5
2021-01-09,17,21,22,22,25,38,22,20,10
2021-01-10,10,17,14,15,21,19,33,12,9
2021-01-11,13,13,19,20,36,31,18,11,9
2021-01-12,12,15,22,28,35,52,15,10,8
2021-01-13,12,16,21,20,29,25,26,6,11
2021-01-14,17,15,26,26,35,37,22,8,4
2021-01-15,7,26,16,20,24,36,24,13,7
2021-01-16,14,16,15,21,32,24,25,10,19
2021-01-17,4,11,10,14,16,25,14,9,3
2021-01-18,7,6,23,22,25,23,20,13,5
2021-01-19,4,5,24,16,18,33,21,16,8
2021-01-20,3,10,17,13,22,29,21,12,7
2021-01-21,7,5,20,14,13,30,21,6,4
2021-01-22,7,10,16,16,19,24,10,5,6
2021-01-23,7,4,19,10,16,21,14,6,4
2021-01-24,5,8,7,4,14,22,13,4,1
2021-01-25,2,3,14,7,12,5,10,4,4
2021-01-26,4,19,32,19,27,17,18,6,4
2021-01-27,7,8,14,15,21,26,14,8,3
2021-01-28,7,13,15,11,12,21,20,7,23
2021-01-29,13,15,11,20,29,22,23,9,13
2021-01-30,9,6,17,22,16,16,14,2,8
2021-01-31,5,9,10,14,17,10,8,8,13
2021-02-01,5,6,13,9,22,16,10,6,3
2021-02-02,4,8,18,17,16,20,10,5,2
2021-02-03,13,7,20,15,26,27,13,8,11
2021-02-04,9,11,10,15,14,21,22,8,4
2021-02-05,10,11,11,13,17,18,17,7,4
2021-02-06,2,8,18,14,13,25,25,7,0
2021-02-07,5,5,10,11,19,16,14,4,0
2021-02-08,3,13,14,23,23,24,15,9,3
2021-02-09,9,30,17,23,38,31,9,7,1
2021-02-10,12,9,22,25,28,37,30,8,16
2021-02-11,8,9,10,16,14,25,18,9,2
2021-02-12,6,7,8,18,13,8,16,9,5
2021-02-13,9,10,11,9,9,8,15,9,2
2021-02-14,6,9,16,17,13,17,12,8,9
2021-02-15,12,14,18,18,21,24,19,6,4
2021-02-16,12,8,23,33,20,26,21,10,2
2021-02-17,2,8,39,58,30,49,34,9,17
2021-02-18,9,12,26,27,25,29,25,11,15
2021-02-19,10,11,24,34,23,31,27,8,3
2021-02-20,11,12,26,23,19,28,36,10,14
2021-02-21,12,15,23,14,11,19,20,4,6
2021-02-22,7,7,18,22,16,18,14,9,6
2021-02-23,6,13,28,16,19,21,22,11,6
2021-02-24,5,10,34,22,22,21,15,5,4
2021-02-25,4,9,16,29,25,26,16,11,6
2021-02-26,6,9,26,35,23,30,22,7,8
2021-02-27,10,9,22,19,16,33,20,5,7
2021-02-28,22,10,16,32,25,27,18,5,7
2021-03-01,26,11,16,38,43,26,22,10,7
2021-03-02,15,11,9,27,21,23,19,7,8
2021-03-03,7,19,24,51,38,37,14,7,3
2021-03-04,7,13,32,21,29,26,20,10,6
2021-03-05,18,10,38,30,32,36,21,8,2
2021-03-06,7,9,29,26,24,25,17,7,8
2021-03-07,6,10,25,18,25,26,14,7,1
2021-03-08,12,7,17,33,39,32,30,12,3
2021-03-09,4,14,25,43,32,26,32,12,7
2021-03-10,18,15,15,41,35,33,16,8,8
2021-03-11,12,13,26,30,27,19,21,15,5
2021-03-12,7,8,17,29,34,36,18,3,4
2021-03-13,11,16,35,47,41,37,17,6,2
2021-03-14,13,11,21,34,26,29,16,8,2
2021-03-15,3,10,24,20,20,36,23,3,4
2021-03-16,10,8,35,34,39,28,20,13,1
2021-03-17,7,7,21,33,36,23,19,5,8
2021-03-18,7,8,22,28,29,34,20,6,7
2021-03-19,14,11,34,33,30,29,27,7,2
2021-03-20,8,11,31,21,31,20,28,6,2
2021-03-21,12,6,32,37,24,24,7,8,2
2021-03-22,12,13,19,25,18,11,12,7,3
2021-03-23,19,16,27,27,20,25,13,4,4
2021-03-24,6,13,22,30,23,29,19,6,2
2021-03-25,26,4,18,36,33,33,28,7,6
2021-03-26,11,13,19,26,29,23,17,9,2
2021-03-27,10,9,18,24,27,22,30,13,5
2021-03-28,4,5,22,16,14,26,25,9,1
2021-03-29,7,10,14,26,24,18,12,7,3
2021-03-30,5,6,14,20,32,16,10,4,0
2021-03-31,10,3,28,20,15,25,24,8,6
2021-04-01,11,15,26,23,24,30,10,9,3
2021-04-02,6,13,24,34,18,24,18,5,5
2021-04-03,4,15,18,20,26,30,20,9,5
2021-04-04,7,16,16,10,17,19,12,6,5
2021-04-05,7,8,17,16,21,24,18,6,4
2021-04-06,12,16,14,30,29,37,25,4,3
2021-04-07,11,21,25,39,40,45,29,11,5
2021-04-08,8,8,25,30,40,40,36,10,3
2021-04-09,19,34,23,21,39,27,23,10,5
2021-04-10,13,14,20,25,34,47,33,8,5
2021-04-11,13,12,18,18,21,44,28,4,6
2021-04-12,9,19,15,24,26,45,20,9,6
2021-04-13,15,24,37,34,40,46,30,6,8
2021-04-14,11,19,31,26,40,57,24,14,8
2021-04-15,8,18,27,27,28,46,38,9,5
2021-04-16,7,21,30,30,34,48,30,11,2
2021-04-17,7,18,26,24,35,34,25,10,3
2021-04-18,11,9,18,23,24,25,25,13,3
2021-04-19,6,20,17,27,38,40,24,10,3
2021-04-20,12,24,27,27,44,52,31,12,7
2021-04-21,9,20,30,35,46,53,34,6,10
2021-04-22,16,21,33,32,44,48,32,20,34
2021-04-23,6,33,46,41,34,45,30,12,8
2021-04-24,10,19,28,21,31,30,23,8,9
2021-04-25,9,15,28,14,19,44,24,5,5
2021-04-26,9,8,34,16,28,40,32,5,4
2021-04-27,9,8,36,26,28,36,35,13,5
2021-04-28,19,9,31,29,40,31,20,4,4
2021-04-29,8,13,25,17,25,28,28,6,5
2021-04-30,8,15,18,19,38,34,29,13,3
2021-05-01,6,14,29,19,19,36,18,5,3
2021-05-02,12,9,11,25,18,21,19,8,3
2021-05-03,5,12,25,22,16,22,15,1,4
2021-05-04,8,14,24,24,30,31,28,7,2
2021-05-05,9,9,16,23,28,30,22,5,2
2021-05-06,14,11,15,24,22,24,12,11,4
2021-05-07,11,11,34,34,29,34,30,5,5
2021-05-08,11,9,21,26,26,31,15,11,3
2021-05-09,5,11,20,15,28,19,17,14,5
2021-05-10,7,13,20,24,31,23,17,3,2
2021-05-11,10,13,22,26,38,41,25,13,3
2021-05-12,12,29,30,51,40,27,29,5,3
2021-05-13,6,18,25,25,26,29,29,8,5
2021-05-14,11,14,25,27,30,29,18,9,4
2021-05-15,13,19,13,16,22,40,24,8,6
2021-05-16,7,11,25,22,23,27,23,10,1
2021-05-17,7,8,21,21,19,29,24,2,3
2021-05-18,10,13,28,25,31,33,20,9,1
2021-05-19,12,26,28,28,40,16,20,7,6
2021-05-20,25,11,18,28,34,21,20,10,1
2021-05-21,8,11,22,20,30,31,25,12,3
2021-05-22,11,13,21,19,22,27,30,5,3
2021-05-23,4,11,18,18,25,22,18,5,0
2021-05-24,4,10,19,24,25,21,26,8,1
2021-05-25,6,18,32,29,34,39,21,7,5
2021-05-26,9,5,36,21,31,38,18,9,4
2021-05-27,2,13,33,21,26,20,18,7,5
2021-05-28,7,18,29,17,29,28,15,4,2
2021-05-29,2,14,28,22,23,36,22,11,2
2021-05-30,4,10,23,13,19,22,17,7,9
2021-05-31,4,6,19,14,18,29,17,9,2
2021-06-01,3,13,28,26,43,44,22,10,3
2021-06-02,9,21,35,26,34,36,27,12,5
2021-06-03,17,19,38,30,24,43,32,1,8
2021-06-04,6,26,40,23,39,32,30,7,5
2021-06-05,15,15,40,18,29,29,21,4,1
2021-06-06,10,9,23,17,25,31,17,9,2
2021-06-07,6,12,25,14,32,23,9,3,1
2021-06-08,10,10,29,22,40,26,21,6,3
2021-06-09,16,9,30,22,40,33,17,4,4
2021-06-10,11,16,28,24,30,40,19,3,4
2021-06-11,19,14,22,27,33,26,20,7,1
2021-06-12,19,12,20,19,31,23,18,7,1
2021-06-13,7,11,17,21,21,26,16,1,3
2021-06-14,13,8,20,13,23,27,10,2,2
2021-06-15,24,19,34,27,45,21,18,6,3
2021-06-16,9,15,31,24,26,32,30,8,0
2021-06-17,12,15,28,22,21,30,26,4,1
2021-06-18,13,15,15,21,25,30,18,6,0
2021-06-19,8,8,23,18,23,18,10,4,3
2021-06-20,8,15,11,10,20,14,11,3,1
2021-06-21,2,12,15,16,25,21,7,1,1
2021-06-22,20,31,27,23,35,28,13,1,2
2021-06-23,15,11,45,24,37,28,24,6,0
2021-06-24,32,22,30,21,23,31,14,3,3
2021-06-25,24,19,39,26,31,34,12,6,0
2021-06-26,28,11,30,17,37,23,23,4,0
2021-06-27,15,16,36,28,31,28,8,5,1
2021-06-28,21,38,33,42,33,35,17,5,2
2021-06-29,12,21,52,47,47,42,13,4,0
2021-06-30,11,39,43,48,44,31,25,6,3
2021-07-01,20,30,55,36,57,55,16,1,1
2021-07-02,18,31,49,45,56,40,15,1,0
2021-07-03,8,25,43,22,56,39,17,1,7
2021-07-04,10,28,46,39,41,38,12,2,5
2021-07-05,23,27,48,31,52,37,9,0,5
2021-07-06,14,38,104,72,75,76,19,5,3
2021-07-07,24,34,73,55,64,84,20,2,0
2021-07-08,28,44,84,80,79,77,23,6,5
2021-07-09,20,56,82,71,71,94,32,9,3
2021-07-10,32,44,86,54,70,95,26,13,1
2021-07-11,17,36,87,38,61,57,17,10,1
2021-07-12,21,31,74,49,64,66,17,7,0
2021-07-13,23,49,107,85,79,83,20,6,2
2021-07-14,39,47,95,85,95,88,27,5,4
2021-07-15,23,48,89,96,92,68,27,3,1
2021-07-16,31,37,88,57,81,86,27,7,4
2021-07-17,30,40,70,50,53,83,23,2,4
2021-07-18,24,40,65,53,65,80,14,10,2
2021-07-19,35,33,72,57,75,82,18,4,1
2021-07-20,34,47,91,73,87,89,28,3,3
2021-07-21,30,47,69,61,77,69,17,8,1
2021-07-22,26,49,90,76,65,76,29,12,3
2021-07-23,41,46,100,61,81,82,33,10,3
2021-07-24,12,34,83,56,59,52,18,5,2
2021-07-25,26,34,73,54,69,59,34,3,2
2021-07-26,30,37,83,66,62,71,22,3,2
2021-07-27,45,51,111,89,97,100,44,9,8
2021-07-28,41,51,104,69,75,93,20,17,2
2021-07-29,29,52,91,75,96,112,45,9,5
2021-07-30,34,43,84,67,61,56,44,2,3
2021-07-31,27,41,81,64,75,77,33,9,1
2021-08-01,18,52,62,58,66,46,20,6,1
2021-08-02,29,41,89,61,60,68,17,5,3
2021-08-03,28,47,98,99,70,83,33,7,2
2021-08-04,26,62,118,77,86,89,38,14,4
2021-08-05,29,63,82,88,69,69,32,16,2
2021-08-06,44,51,101,91,87,81,50,11,1
2021-08-07,37,54,80,91,69,83,39,9,4
2021-08-08,38,45,88,74,64,67,19,6,4
2021-08-09,26,51,85,78,76,67,37,8,3
2021-08-10,40,77,149,131,108,103,53,12,11
2021-08-11,38,74,134,92,89,98,41,14,5
2021-08-12,30,41,107,92,83,84,56,12,3
2021-08-13,33,71,121,93,99,108,34,9,3
2021-08-14,37,60,114,68,98,78,39,5,2
2021-08-15,28,42,96,78,57,59,32,6,4
2021-08-16,27,37,72,85,58,70,17,5,2
2021-08-17,34,57,118,83,85,99,46,5,4
2021-08-18,35,60,139,127,110,103,53,20,9
2021-08-19,58,50,132,132,97,82,41,12,9
2021-08-20,41,70,120,120,113,96,56,8,2
2021-08-21,44,51,110,108,85,73,38,8,4
2021-08-22,36,44,83,60,83,60,26,7,2
2021-08-23,40,50,95,90,93,58,39,5,1
2021-08-24,24,64,141,108,91,94,42,11,0
2021-08-25,43,55,122,85,95,67,37,13,2
2021-08-26,42,47,130,123,103,91,36,10,4
2021-08-27,39,48,118,104,73,84,29,10,5
2021-08-28,43,47,106,97,70,62,32,11,5
2021-08-29,34,23,68,79,67,65,29,7,6
